Visibility,Precipitation,Injuries,Fatalities
,,,
,,,
,,,
DAY,,,
DAY,,,
,,,
,,,
,,,
,,,
,,,
DAY,,,
,,,
NIGHT,,,
DAY,,,
DAY,,,
,,,
,,,
DAY,,,
DAY,,,
NIGHT,,,
DUSK,,,
,,,
,,,
DAY,,,
DAY,,,
DAY,,,
NIGHT,,,
DAY,,,
,,,
,,,
DAY,,,
,,,
DUSK,,,
,,,
,,,
,,,
DAY,,,
NIGHT,,,
,,,
,,,
,,,
DAY,,,
DAY,,,
,,,
,,,
,,,
,,,
,,,
DAY,,,
,,,
,,,
DUSK,,,
,,,
,,,
,,,
,,,
NIGHT,,,
DAY,,,
NIGHT,,,
DAY,,,
,,,
NIGHT,,,
NIGHT,,,
,,,
NIGHT,,,
,,,
,,,
,,,
,,,
DAY,,,
DAY,,,
DAY,,,
NIGHT,,,
,,,
,,,
,,,
NIGHT,,,
NIGHT,,,
,,,
DUSK,,,
DAY,,,
DAY,,,
DAY,,,
DAY,,,
,,,
NIGHT,,,
,,,
DAY,,,
NIGHT,,,
DAY,,,
DAY,,,
DUSK,,,
DUSK,,,
,,,
,,,
DAY,,,
,,,
DAY,,,
,,,
,,,
,,,
,,,
DAY,,,
DAY,,,
DAY,,,
DAY,,,
NIGHT,,,
DAY,,,
NIGHT,,,
,,,
,,,
NIGHT,,,
DAY,,,
DAY,,,
,,,
,,,
,,,
,,,
,,,
,,,
DAY,,,
DAY,,,
DUSK,,,
,,,
DAY,,,
NIGHT,,,
DAY,,,
DAY,,,
DAWN,,,
DAY,,,
,,,
DAY,,,
NIGHT,,,
DAY,,,
DUSK,,,
DAY,,,
,,,
DAY,,,
DUSK,,,
NIGHT,,,
,,,
DAY,,,
NIGHT,,,
,,,
DAY,,,
NIGHT,,,
DAY,,,
NIGHT,,,
DAY,,,
NIGHT,,,
DAY,,,
DAY,,,
NIGHT,,,
NIGHT,,,
DAY,,,
NIGHT,,,
DAY,,,
NIGHT,,,
DAY,,,
DAY,,,
NIGHT,,,
DAY,,,
DAY,,,
NIGHT,,,
NIGHT,,,
NIGHT,,,
DAY,,,
NIGHT,,,
,,,
DAY,,,
DAY,,,
DAY,,,
,,,
NIGHT,,,
NIGHT,,,
NIGHT,,,
NIGHT,,,
DAY,,,
DAY,,,
DAY,,,
DAY,,,
DAY,,,
DAY,,,
DAY,,,
DAY,,,
DAY,,,
DAY,,,
NIGHT,,,
DAY,,,
DAY,,,
DAY,,,
NIGHT,,,
DAY,,,
DAY,,,
NIGHT,,,
DAY,,,
DAY,,,
,,,
NIGHT,,,
DAY,,,
DAY,,,
DAY,,,
DAY,,,
NIGHT,,,
DAY,,,
DAY,,,
DAY,,,
DAY,,,
DAY,,,
NIGHT,,,
DAY,,,
DAY,,,
,,,
NIGHT,,,
DAWN,,,
NIGHT,,,
DAY,,,
DAY,,,
NIGHT,,,
DAY,,,
NIGHT,,,
DAY,,,
DAY,,,
DAY,,,
NIGHT,,,
DAY,,,
,,,
DAY,,,
DAY,,,
DAY,,,
DAY,,,
DAY,,,
,,,
NIGHT,,,
DAWN,,,
DAY,,,
DAY,,,
DAY,,,
DAY,,,
DAY,,,
DAY,,,
